order_id,created_at,website_session_id,user_id,primary_product_id,items_purchased,price_usd,cogs_usd
1,3/19/2012 10:42,20,20,1,1,49.99,19.49
2,3/19/2012 19:27,104,104,1,1,49.99,19.49
3,3/20/2012 6:44,147,147,1,1,49.99,19.49
4,3/20/2012 9:41,160,160,1,1,49.99,19.49
5,3/20/2012 11:28,177,177,1,1,49.99,19.49
6,3/20/2012 16:12,232,232,1,1,49.99,19.49
7,3/20/2012 17:03,241,241,1,1,49.99,19.49
8,3/20/2012 23:35,295,295,1,1,49.99,19.49
9,3/21/2012 2:35,304,304,1,1,49.99,19.49
10,3/21/2012 6:45,317,317,1,1,49.99,19.49
11,3/21/2012 7:28,321,321,1,1,49.99,19.49
12,3/21/2012 8:21,327,327,1,1,49.99,19.49
13,3/21/2012 8:45,332,332,1,1,49.99,19.49
14,3/21/2012 9:12,336,336,1,1,49.99,19.49
15,3/21/2012 16:40,428,428,1,1,49.99,19.49
16,3/21/2012 17:13,434,434,1,1,49.99,19.49
17,3/21/2012 20:28,465,465,1,1,49.99,19.49
18,3/22/2012 6:15,507,507,1,1,49.99,19.49
19,3/22/2012 10:03,536,536,1,1,49.99,19.49
20,3/22/2012 17:49,615,615,1,1,49.99,19.49
21,3/22/2012 20:33,639,639,1,1,49.99,19.49
22,3/23/2012 12:09,732,732,1,1,49.99,19.49
23,3/23/2012 14:16,750,750,1,1,49.99,19.49
24,3/23/2012 17:14,783,783,1,1,49.99,19.49
25,3/24/2012 9:21,844,844,1,1,49.99,19.49
26,3/25/2012 8:32,908,908,1,1,49.99,19.49
27,3/25/2012 8:51,909,909,1,1,49.99,19.49
28,3/25/2012 16:00,940,940,1,1,49.99,19.49
29,3/25/2012 21:23,954,954,1,1,49.99,19.49
30,3/26/2012 10:03,1018,1016,1,1,49.99,19.49
31,3/26/2012 10:25,1023,1021,1,1,49.99,19.49
32,3/26/2012 14:13,1059,1055,1,1,49.99,19.49
33,3/26/2012 16:00,1081,1077,1,1,49.99,19.49
34,3/26/2012 17:55,1094,1090,1,1,49.99,19.49
35,3/26/2012 18:06,1098,1094,1,1,49.99,19.49
36,3/26/2012 18:54,1105,1101,1,1,49.99,19.49
37,3/26/2012 19:19,1107,1103,1,1,49.99,19.49
38,3/26/2012 21:13,1125,1121,1,1,49.99,19.49
39,3/27/2012 15:18,1243,1238,1,1,49.99,19.49
40,3/27/2012 16:53,1256,1251,1,1,49.99,19.49
41,3/28/2012 8:30,1330,1325,1,1,49.99,19.49
42,3/28/2012 9:56,1343,1337,1,1,49.99,19.49
43,3/28/2012 16:55,1419,1412,1,1,49.99,19.49
44,3/28/2012 21:24,1454,1447,1,1,49.99,19.49
45,3/28/2012 22:45,1463,1456,1,1,49.99,19.49
46,3/29/2012 16:11,1581,1574,1,1,49.99,19.49
47,3/29/2012 17:49,1605,1598,1,1,49.99,19.49
48,3/29/2012 23:09,1643,1635,1,1,49.99,19.49
49,3/30/2012 0:25,1646,1638,1,1,49.99,19.49
